Password,AM Code,Sale Target,Sale,SaleAch,SalesScore,count_x,count_y,SaleaggPer,SalesAggScore
0,WF10283,113.2699246,109.0342407,96.26053966,60,3,1,33.33333333,30
1,WF10328,99.3,90.78434066,91.42431083,10,5,1,20,20
2,WF15256,152.7251661,147.5038566,96.5812383,60,6,1,16.66666667,10
3,WF16825,170.1261326,163.2418832,95.95344391,50,7,2,28.57142857,20
4,WF17427,9.6,7.338802441,76.44585876,0,1,0,0,10
5,WF17705,128.7,118.9390236,92.41571372,20,7,0,0,10
6,WF17987,101.9108072,98.53043839,96.68301239,60,3,0,0,10
7,WF18169,406.8399174,389.9104544,95.83879008,50,10,2,20,20
8,WF18171,373.1464786,363.2980827,97.36071583,70,9,5,55.55555556,50
9,WFCH0059,450.2175381,435.7844529,96.79419747,60,7,1,14.28571429,10
10,WFCH0402,360.7029421,354.2723104,98.21719453,80,10,4,40,40
11,WFCH0483,216.7719146,216.6333717,99.93608815,90,7,5,71.42857143,70
12,WFCH1132,275.7583899,264.6081521,95.95651911,50,9,4,44.44444444,40
13,WFCH1198,95.1,85.51383499,89.91991061,0,6,1,16.66666667,10
14,WFCH1443,190.9077612,186.9772452,97.94114395,70,5,2,40,40
15,WFCH1579,105.4516649,106.4025568,100.9017325,100,4,3,75,70
16,WFCH1725,243.3092926,229.6357317,94.38017314,40,8,1,12.5,10
17,WFCH1747,369.2525027,354.855811,96.10112549,60,12,5,41.66666667,40
18,WFCH1754,142.1560016,128.644322,90.49517474,0,2,0,0,10
19,WFCH1901,230.5427236,224.4230042,97.34551615,70,8,3,37.5,30
20,WFCH2141,92.33458639,89.65448086,97.09739802,70,3,1,33.33333333,30
21,WFCH2143,124.2,116.627086,93.90264575,30,5,0,0,10
22,WFCH2171,153.1284474,154.953796,101.1920376,100,6,2,33.33333333,30
23,WFCH2190,199.4855574,199.3544287,99.93426657,90,7,4,57.14285714,50
24,WFCH2232,51,44.23954827,86.74421229,0,3,0,0,10
25,WFCH2830,267.9213559,261.9193746,97.75979738,70,5,2,40,40
26,WFCH2896,52.96599726,52.21688612,98.58567537,80,2,1,50,50
27,WFCH2903,106.5,99.65437726,93.57218522,30,6,1,16.66666667,10
28,WFCH2982,159.155658,152.5474527,95.84796081,50,6,1,16.66666667,10
29,WFCH3019,104.9653063,89.55933393,85.32279578,0,5,0,0,10
30,WFCH3034,39,33.58861125,86.12464424,0,3,0,0,10
31,WFCH4061,228.2541454,215.2007596,94.28120538,40,6,0,0,10
32,WFCH4206,240,234.3925764,97.66357352,70,9,2,22.22222222,20
33,WFCH4340,256.8925098,241.4112585,93.9736463,30,12,4,33.33333333,30
34,WFCH4576,60.6,58.11100524,95.89274791,50,3,0,0,10
35,WFCH4663,206.7206548,196.3791569,94.99735625,40,5,1,20,20
36,WFCH4680,408.7643584,373.0071229,91.25235977,10,6,1,16.66666667,10
37,WFCH4735,161.1,144.5973426,89.75626482,0,4,0,0,10
38,WFCH4845,147.6,142.4716367,96.52549912,60,6,1,16.66666667,10
39,WFCH4929,120,123.1929106,102.6607588,100,1,1,100,100
40,WFCH5330,224.202991,219.4695547,97.88877201,70,5,3,60,60
41,WFCH6488,100.5039047,99.11817843,98.62122142,80,5,2,40,40
42,WFCH6551,62.7,61.69708622,98.4004565,80,3,1,33.33333333,30
43,WFCH6767,45.3,45.16277381,99.69707244,90,2,1,50,50
44,WFCH8141,235.6625319,237.1662412,100.6380774,100,7,3,42.85714286,40
